0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:36 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:37 +0700] "GET /ABCNews/NewsListServlet?cat=cat2 HTTP/1.1" 200 14189
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:37 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:37 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:38 +0700] "GET /ABCNews/NewsListServlet?cat=cat1 HTTP/1.1" 200 11039
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:38 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:37:38 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:44:22 +0700] "GET /ABCNews/ HTTP/1.1" 200 46505
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:44:22 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:44:23 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:51:52 +0700] "GET /ABCNews/HomeServlet HTTP/1.1" 200 46505
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:51:52 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:51:53 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:51:55 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:53:30 +0700] "GET /ABCNews/NewsListServlet?cat=cat1 HTTP/1.1" 200 11039
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:53:30 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:53:30 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:53:47 +0700] "GET /ABCNews/NewsListServlet?cat=cat2 HTTP/1.1" 200 14189
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:53:47 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:53:47 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:54:02 +0700] "GET /ABCNews/NewsListServlet?cat=cat3 HTTP/1.1" 200 13741
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:54:02 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:54:02 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:56:38 +0700] "GET /ABCNews/ HTTP/1.1" 200 46505
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:56:38 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:56:38 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:56:40 +0700] "GET /ABCNews/login.jsp HTTP/1.1" 200 3289
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:56:40 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:58:15 +0700] "GET /ABCNews/ HTTP/1.1" 200 46505
